date,open,high,low,close,volume,ema10,ema20,vwma20,rsi14,signal
2024-05-14,26.91,27.24,26.29,26.54,100811.0,26.69741619927717,26.965423630513033,27.242933311037554,43.08109543464839,0
2024-05-13,26.2,26.72,26.13,26.54,167160.0,26.668795072135865,26.924907094273696,27.18532454226048,43.08109543464838,0
2024-05-10,26.3,26.3,25.78,26.02,166481.0,26.550832331747525,26.83872546624763,27.071308595419797,38.29911163116899,0
2024-05-09,25.73,26.41,25.53,26.31,100255.0,26.50704463506616,26.78837065993833,27.002684758505364,42.155350224363644,0
2024-05-08,25.44,25.89,25.44,25.55,417913.0,26.33303651959958,26.670430597087062,26.76556167339729,35.83451723504196,0
2024-05-07,25.8,26.12,25.48,25.56,99623.0,26.192484425126928,26.56467530212639,26.565365316229386,35.97055904919894,0
2024-05-06,26.31,26.31,25.54,25.74,92746.0,26.1102145296493,26.48613479716197,26.379260569669825,38.49820324737706,0
2024-05-03,26.13,26.56,25.49,26.0,127945.0,26.090175524258516,26.439836245051303,26.359465493922375,42.05637894438484,0
2024-05-02,27.0,28.18,25.17,25.65,245343.0,26.010143610756966,26.364613745522608,26.174863168450365,38.80196574271968,0
2024-05-01,25.66,26.0,25.42,25.81,59042.0,25.973753863346605,26.311793388806166,26.152564999251688,41.04779876567683,0
2024-04-30,25.82,26.12,25.5,25.58,135849.0,25.90216225182904,26.242098780348435,26.118950254209203,38.84119136587923,0
2024-04-29,25.05,26.16,25.05,26.1,84087.0,25.938132751496486,26.228565563172396,26.104733453109837,45.91959500095115,0
2024-04-26,24.7,25.06,24.63,24.92,155416.0,25.75301770576985,26.103940271441694,26.012179978397352,35.795284195973096,0
2024-04-25,24.9,24.94,24.55,24.71,59965.0,25.563378122902602,25.971184055113916,25.966257313273555,34.344039114356434,0
2024-04-24,25.06,25.62,24.9,25.42,116310.0,25.537309373283946,25.91869033557926,25.92979550834681,42.789348714891496,0
2024-04-23,24.75,25.49,24.75,25.18,87583.0,25.472344032686863,25.8483388750479,25.88990860350987,40.87535491552429,0
2024-04-22,24.28,25.04,24.07,24.93,117960.0,25.373736026743792,25.760878029805244,25.834949762075304,38.922289973448606,0
2024-04-19,23.49,24.29,23.49,24.0,89946.0,25.1239658400631,25.59317536029998,25.709456037590854,32.66887861320906,0
2024-04-18,23.35,23.69,23.2,23.57,87293.0,24.84142659641526,25.400491992652363,25.603463672170054,30.248967778119294,0
2024-04-17,23.85,23.99,23.31,23.32,65290.0,24.56480357888521,25.20234989811404,25.495415938111414,28.908232867593327,0
2024-04-16,23.97,23.97,23.63,23.74,61361.0,24.41483929181517,25.063078479246037,25.41146956061867,34.18593684452841,0
2024-04-15,24.44,24.9,23.98,24.07,73650.0,24.352141238757866,24.9684995764607,25.29386008433515,38.075809538896706,0
2024-04-12,24.51,24.66,24.19,24.24,49089.0,24.33175192262007,24.899118664416825,25.219667468386092,40.04181547074544,0
2024-04-11,24.4,24.71,24.25,24.69,80855.0,24.396887936689147,24.87920260113903,25.153729015206743,45.01796657357487,0
2024-04-10,24.68,24.73,23.9,24.19,96568.0,24.35927194820021,24.813564258173407,25.023476009367947,40.951160422934485,0
2024-04-09,25.5,25.57,25.11,25.26,62897.0,24.52304068489108,24.85608194787118,25.00368656804476,51.12631740222937,0
2024-04-08,25.2,25.66,25.04,25.5,70531.0,24.700669651274517,24.91740747664535,24.986413610935248,53.079334569744745,0
2024-04-05,24.85,25.15,24.66,24.99,64548.0,24.7532751692246,24.924321050298175,24.916949671680843,48.632028685406375,0
2024-04-04,25.98,26.05,24.92,24.99,92762.0,24.7963160475474,24.930576188365016,24.8157969715991,48.632028685406375,0
2024-04-03,25.44,25.9,25.42,25.76,58981.0,24.97153131162969,25.009568932330254,24.81403788324671,55.2040663003447,0
2024-04-02,26.25,26.46,25.55,25.58,80347.0,25.082161982242468,25.06389570067975,24.788357426640307,53.481493382155776,0
2024-04-01,27.04,27.04,26.36,26.52,94983.0,25.343587076380203,25.202572300615014,24.820874608047,60.42620583906986,0
2024-03-28,27.02,27.29,26.88,27.04,77171.0,25.652025789765617,25.377565414842156,24.9190091304649,63.658367744500154,0
2024-03-27,26.56,27.26,26.56,27.01,98295.0,25.898930191626413,25.53303537533338,25.05308715460951,63.33696818146751,0
2024-03-26,26.89,27.11,26.49,26.56,94685.0,26.01912470223979,25.630841530063535,25.115404403677726,58.56087000156998,0
2024-03-25,26.33,26.69,26.32,26.59,92794.0,26.122920210923464,25.722189955771768,25.196879968149187,58.78400882958553,0
2024-03-22,26.62,26.62,26.14,26.35,100814.0,26.164207445301017,25.78198138855541,25.289626225782555,56.1778303667075,0
2024-03-21,26.9,27.06,26.71,26.8,130806.0,26.27980609160992,25.87893554202632,25.48155793526431,59.77854485109618,0
2024-03-20,25.98,26.59,25.78,26.58,163653.0,26.334386802226295,25.94570358564286,25.684255450037426,57.29974013992828,0
2024-03-19,25.45,26.01,25.45,25.98,72883.0,26.269952838185148,25.94896991081973,25.786671328011792,51.07886524866223,0
2024-03-18,25.52,25.57,25.15,25.45,67657.0,26.120870503969662,25.901448966932136,25.84630559482218,46.29736291675419,0
2024-03-15,25.13,25.83,25.13,25.58,185463.0,26.02253041233881,25.870834779605264,25.890665476619773,47.59323650110038,0
2024-03-14,25.9,26.19,24.86,25.37,89607.0,25.9038885191863,25.823136229166668,25.90898570591057,45.675830411514795,0
2024-03-13,26.06,26.5,25.87,26.14,101462.0,25.946817879334244,25.853313731150795,25.973301068528926,53.13178701633122,0
2024-03-12,26.56,26.56,26.01,26.35,93037.0,26.02012371945529,25.90061718532691,26.082765198249053,54.947882733152575,0
2024-03-11,25.67,26.11,25.58,25.98,56437.0,26.012828497736145,25.908177453391016,26.10711694638235,51.1846006626762,0
2024-03-08,25.8,26.35,25.58,25.9,108009.0,25.99231422542048,25.907398648306156,26.117743705291122,50.381154337345684,0
2024-03-07,25.41,25.7,25.12,25.66,104546.0,25.93189345716221,25.883836872276998,26.130438894070025,47.94946946050287,0
2024-03-06,24.6,25.44,24.6,25.29,79975.0,25.815185555859987,25.827280979679188,26.150204826284007,44.39216776949669,0
2024-03-05,24.55,24.83,24.29,24.5,72745.0,25.576060909339986,25.700873267328788,26.100835227379694,37.92298453854725,0
2024-03-04,24.55,25.2,24.49,24.81,70448.0,25.436777107641806,25.616028194249854,26.075731691102394,41.52411760114326,0
2024-03-01,24.75,24.77,24.1,24.41,102500.0,25.250090360797838,25.501168366226057,25.96725647699144,38.42653731133494,0
2024-02-29,25.07,25.23,24.75,24.82,80404.0,25.171892113380046,25.43629518849024,25.87823861521091,43.110992268414215,0
2024-02-28,25.0,25.36,24.62,24.64,92215.0,25.075184456401853,25.360457551491173,25.763231187568238,41.614137319637905,0
2024-02-27,25.42,25.71,25.05,25.08,82125.0,25.076060009783333,25.333747308492015,25.69568458291829,46.50380605918869,0
2024-02-26,26.32,26.45,25.07,25.26,118998.0,25.109503644368182,25.3267237553023,25.62737280269776,48.40735497771663,0
2024-02-23,25.57,26.81,25.57,26.4,167589.0,25.344139345392147,25.428940540511604,25.655126413889526,58.483210827835435,0
2024-02-22,25.65,27.47,24.9,25.58,183962.0,25.387023100775394,25.443327155700974,25.576998903862272,50.79832793458842,0
